repo_name;pr_number;title;body;language;created_at;closed_at;merged_at;state;merged;review_count;files_changed;additions;deletions;comments;review_comments;time_to_close_hours;participant_count
vercel/next.js;77442;Turbopack: Add --turbopack for next start;"Adds `--turbopack` for `next start` to match `next dev --turbopack` and `next build --turbopack`. This is required to boot Turbopack builds while webpack is still the default because there's some environment variable differences.

Initially wanted to automatically detect Turbopack builds but the pro...";;2025-03-23T19:25:13+00:00;2025-03-24T00:20:52+00:00;2025-03-24T00:20:52+00:00;closed;True;1;3;11;7;3;0;4.9275;3
Chalarangelo/30-seconds-of-code;2100;Update README.md;SPAM! SPAM! SPAM!;;2025-02-08T07:50:56+00:00;2025-02-08T09:56:53+00:00;;closed;False;1;1;1;1;0;1;2.099166666666666;2
microsoft/PowerToys;38079;[installer] Fix packages removal for per-user installer;"<!-- Enter a brief description/summary of your PR here. What does it fix/what does it change/how was it tested (even manually, if necessary)? -->
## Summary of the Pull Request

<!-- Please review the items on the PR checklist before submitting-->
## PR Checklist

- [ ] **Closes:** #xxx
- [ ]...";;2025-03-21T10:44:23+00:00;2025-03-21T14:45:46+00:00;2025-03-21T14:45:46+00:00;closed;True;1;1;1;1;0;0;4.023055555555556;2
electron/electron;46205;refactor: remove unused field `ServiceWorkerMain::weak_factory_`;"Backport of #46171

See that PR for details.


Notes: none.";;2025-03-23T09:15:04+00:00;2025-03-23T15:26:24+00:00;2025-03-23T15:26:24+00:00;closed;True;1;1;0;3;1;0;6.188888888888889;3
kubernetes/kubernetes;130998;Use established pattern for kubelet metrics url;"Fix for the the following error:
https://storage.googleapis.com/k8s-triage/index.html?text=container_metrics_test.go%3A119&xtext=container_spec_memory_swap_limit_bytes

from the logs:
```
[FAILED] Timed out after 60.001s.
The function passed to Eventually returned the following error:
    <*u...";;2025-03-22T11:45:21+00:00;2025-03-23T03:34:32+00:00;2025-03-23T03:34:32+00:00;closed;True;1;1;2;1;8;0;15.819722222222222;3
nodejs/node;57579;doc: remove cryptoStream API reference;This was removed in https://github.com/nodejs/node/pull/22033;;2025-03-21T14:41:46+00:00;2025-03-23T14:51:41+00:00;2025-03-23T14:51:41+00:00;closed;True;3;2;1;25;3;0;48.165277777777774;6
langchain-ai/langchain;30447;APIpie.ai community provider initial integration;"- [X] **PR title**: ""langvhain-ai/community: Adding APIpie Super Aggregator and advanced AI services""
 
- [X] **PR message**: Integrate APIpie with Langchain
    - **Description:** Added APIpie community chat module along with a unit test module and a providers md doc.
    - **Issue:** Adds APIp...";;2025-03-23T16:19:44+00:00;2025-03-23T18:07:08+00:00;;closed;False;1;5;1308;0;1;0;1.79;3
microsoft/TypeScript;61452;Fix errors on type assertions in erasableSyntaxOnly;Brings in fixes/simplifications mentioned in https://github.com/microsoft/TypeScript/pull/61244#discussion_r2004348678 and https://github.com/microsoft/TypeScript/pull/61320#discussion_r2004343942.;;2025-03-19T21:56:05+00:00;2025-03-19T23:25:22+00:00;2025-03-19T23:25:22+00:00;closed;True;1;6;87;2;4;0;1.4880555555555557;3
denoland/deno;28586;fix(npm): reduce occurrences of duplicate packages due to peer dep resolution;"* https://github.com/denoland/deno_npm/pull/87

Closes #26626";;2025-03-21T19:33:07+00:00;2025-03-21T21:12:29+00:00;2025-03-21T21:12:29+00:00;closed;True;1;2;8;8;0;0;1.656111111111111;2
rust-lang/rust;138861;Tweak type flags, fix missing flags from coroutine kind ty;Firstly, make sure we visit the coroutine kind ty. Since this kind ty is either infer (before upvar computation), or `()` or `i8`/`i16`/`i32`, this isn't really that big of a deal, since other types in the coroutine will also be infer, so we're not misreporting `ty.has_infer()` or anything, but it's...;;2025-03-23T16:47:39+00:00;2025-03-24T00:07:55+00:00;2025-03-24T00:07:55+00:00;closed;True;3;3;24;85;2;2;7.337777777777778;3
goldbergyoni/nodebestpractices;1273;Fix typos;Fix typos;;2023-09-03T20:51:29+00:00;2023-09-10T06:40:59+00:00;2023-09-10T06:40:59+00:00;closed;True;1;1;7;7;4;0;153.825;4
microsoft/terminal;18707;Delay-load icu so that we don't fail to start up on Windows <1903;"Originally, I intended to switch to icuuc/icuin.dll to make it work on Windows 1703 as well... but it turns out that the 22621 or 26100 SDKs redirect those back to icu.dll. That's a poor decision on their part, as it means that developers can't use the old compatibility names.

VS supports Windows...";;2025-03-20T22:58:02+00:00;2025-03-21T00:57:07+00:00;2025-03-21T00:57:07+00:00;closed;True;1;2;2;1;1;0;1.9847222222222225;2
angular/angular;60523;Revert a2f622d to fix the 19.2.x branch ;"This reverts commit a2f622d82d6c0f93a5fdf34fc8e5829db04c7380.
";;2025-03-23T17:58:06+00:00;2025-03-24T06:58:51+00:00;;closed;False;1;2;0;15;1;0;13.0125;2
godotengine/godot;104475;Fix 3D view menu gizmo icons being broken in empty scene;"<!--
Please target the `master` branch in priority.

Relevant fixes are cherry-picked for stable branches as needed by maintainers.

To speed up the contribution process and avoid CI errors, please set up pre-commit hooks locally:
https://docs.godotengine.org/en/latest/contributing/development...";;2025-03-22T07:05:22+00:00;2025-03-24T00:09:10+00:00;2025-03-24T00:09:10+00:00;closed;True;1;2;9;12;4;0;41.06333333333333;3
excalidraw/excalidraw;9288;fix: 'Rotate' spell error;"Fix spell error 'Roate' -> 'Rotate'.
Tiny change. :)
❤️";;2025-03-21T02:25:46+00:00;2025-03-22T09:06:24+00:00;2025-03-22T09:06:24+00:00;closed;True;1;1;2;2;1;0;30.677222222222223;3
mui/material-ui;45658;Bump next to 14.2.25 [SECURITY];"This PR contains the following updates:

| Package | Change | Age | Adoption | Passing | Confidence |
|---|---|---|---|---|---|
| [next](https://nextjs.org) ([source](https://redirect.github.com/vercel/next.js)) | [`14.2.21` -> `14.2.25`](https://renovatebot.com/diffs/npm/next/14.2.21/14.2.25) | [![...";;2025-03-23T06:05:49+00:00;2025-03-23T07:30:33+00:00;2025-03-23T07:30:33+00:00;closed;True;1;2;2;2;1;0;1.4122222222222225;3
ant-design/ant-design;53268;chore: sync feature into next;"
### 🤔 This is a ...

- [x] 🔀 Branch merge


### 🔗 Related Issues

> - Describe the source of related requirements, such as links to relevant issue discussions.
> - For example: close #xxxx, fix #xxxx

### 💡 Background and Solution

> - The specific problem to be addressed.
> - List th...";;2025-03-24T04:21:25+00:00;2025-03-24T05:46:55+00:00;2025-03-24T05:46:55+00:00;closed;True;4;55;1089;463;11;3;1.425;10
ripienaar/free-for-dev;3675;Update README.md;"<!--
 ### Free SaaS Offering Submission

 Thank you for contributing to this list. This list is for **SaaS**
 services that offer a **free tier** to help developers evaluate and
 build something that users can later use and get support for.

 The focus of this list is quite broad but we try t...";;2025-03-17T08:12:37+00:00;2025-03-18T01:41:51+00:00;;closed;False;1;1;1;0;1;1;17.487222222222222;2
iptv-org/iptv;20823;remove 195.189.60.33 links;https://github.com/iptv-org/iptv/issues/20813;;2025-03-22T14:17:05+00:00;2025-03-22T23:29:01+00:00;2025-03-22T23:29:01+00:00;closed;True;2;1;0;222;0;0;9.198888888888888;3
nvbn/thefuck;1432;Fix typos in README.md;;;2024-01-25T08:37:08+00:00;2024-01-25T19:52:35+00:00;2024-01-25T19:52:35+00:00;closed;True;1;1;13;13;1;0;11.2575;2
puppeteer/puppeteer;13700;chore(deps): Bump node from `f6b9c31` to `c7fd844` in /docker in the all group;"Bumps the all group in /docker with 1 update: node.

Updates `node` from `f6b9c31` to `c7fd844`

<details>
<summary>Most Recent Ignore Conditions Applied to This Pull Request</summary>

| Dependency Name | Ignore Conditions |
| --- | --- |
| node | [>= 23.a, < 24] |
</details>


[![Dependabot compat...";;2025-03-23T04:39:46+00:00;2025-03-24T09:28:11+00:00;2025-03-24T09:28:11+00:00;closed;True;1;1;1;1;0;0;28.806944444444444;2
pytorch/pytorch;149844;Update slow tests;"This PR is auto-generated weekly by [this action](https://github.com/pytorch/pytorch/blob/main/.github/workflows/weekly.yml).
Update the list of slow tests.";;2025-03-24T07:40:28+00:00;2025-03-24T12:12:59+00:00;;closed;False;1;1;303;289;3;0;4.541944444444445;4
tailwindlabs/tailwindcss;17337;🚨 [security] Update all of nextjs 15.2.1 → 15.2.3 (patch);"

<hr>

🚨 <b>Your current dependencies have known security vulnerabilities</b> 🚨

This dependency update fixes known security vulnerabilities. Please see the details below and assess their impact carefully. We recommend to merge and deploy this as soon as possible!
<hr>



Here is everything you nee...";;2025-03-22T21:43:06+00:00;2025-03-24T10:26:05+00:00;2025-03-24T10:26:05+00:00;closed;True;1;3;62;67;2;0;36.716388888888886;2
storybookjs/storybook;30903;Build: Add spy mocking rules for Vitest tests;"Closes N/A

<!-- If your PR is related to an issue, provide the number(s) above; if it resolves multiple issues, be sure to break them up (e.g. ""closes #1000, closes #1001""). -->

<!--

Thank you for contributing to Storybook! Please submit all PRs to the `next` branch unless they are specific...";;2025-03-24T09:52:24+00:00;2025-03-24T11:34:12+00:00;2025-03-24T11:34:12+00:00;closed;True;1;1;43;0;2;1;1.6966666666666668;4
microsoft/Web-Dev-For-Beginners;1372;docs: announce gen ai javascript;"# Description

- Changing text to announce Gen aI for JavaScript
- Adding images to make it extra compelling

Fixes # (issue)

## Type of change

- [ ] Bug fix (non-breaking change which fixes an issue)
- [ ] New feature (non-breaking change which adds functionality)
- [ ] Breaking change...";;2025-03-07T16:29:46+00:00;2025-03-10T20:27:28+00:00;2025-03-10T20:27:28+00:00;closed;True;17;3;21;6;0;14;75.96166666666667;4
langgenius/dify;16630;fix: fix inner API workspace Account.query error.;"# Summary

Fix inner API workspace Account.query error.


# Screenshots

| Before | After |
|--------|-------|
| ![6a9189f6437c487ca28909efbf737ee](https://github.com/user-attachments/assets/8c5a3912-943c-4ab2-aedf-29518def5b7f)    | fixed   |

# Checklist

> [!IMPORTANT]  
> Please re...";;2025-03-24T08:39:47+00:00;2025-03-24T09:52:50+00:00;2025-03-24T09:52:50+00:00;closed;True;1;1;2;1;0;0;1.2175;2
shadcn-ui/ui;6965;fix: allow silent mode with npm on React 19;This change honors the silent flag by setting `--force` if `--silent` is on and components are being added to a React 19 project using `npm`. ;;2025-03-18T22:20:21+00:00;2025-03-20T09:02:18+00:00;2025-03-20T09:02:18+00:00;closed;True;3;2;26;17;2;2;34.69916666666666;4
nvm-sh/nvm;3532;[spam];;;2025-02-24T00:57:50+00:00;2025-02-24T18:54:41+00:00;;closed;False;1;1;28;0;0;0;17.9475;2
django/django;19299;Updated ogrinfo output in GIS tutorial.;"#### Trac ticket number
N/A

#### Branch description
This commit updates only the output of the `ogrinfo` command in the GIS tutorial. Since the paragraph explaining parts of the output is still valid, no additional updates were made to this section of the tutorial.

#### Checklist
- [x] This...";;2025-03-22T21:42:45+00:00;2025-03-23T20:36:16+00:00;2025-03-23T20:36:16+00:00;closed;True;1;1;18;6;0;0;22.891944444444444;2
iluwatar/java-design-patterns;3215;Add Service Stub Pattern using Sentiment Analysis example;"This PR introduces the Service Stub Pattern, demonstrated through a Sentiment Analysis example.

- Adds SentimentAnalysisServer interface.
- Implements RealSentimentAnalysisServer, simulating random sentiment results with delay.
- Implements StubSentimentAnalysisServer, providing predictable, in...";;2025-03-22T21:10:31+00:00;2025-03-23T05:37:35+00:00;2025-03-23T05:37:35+00:00;closed;True;4;10;377;0;4;0;8.45111111111111;5
tauri-apps/tauri;13062;chore(deps): update dependency rollup to v4.37.0 (dev);"This PR contains the following updates:

| Package | Change | Age | Adoption | Passing | Confidence |
|---|---|---|---|---|---|
| [rollup](https://rollupjs.org/) ([source](https://redirect.github.com/rollup/rollup)) | [`4.36.0` -> `4.37.0`](https://renovatebot.com/diffs/npm/rollup/4.36.0/4.37.0) | [...";;2025-03-23T18:26:00+00:00;2025-03-24T13:14:03+00:00;2025-03-24T13:14:02+00:00;closed;True;1;2;101;92;1;0;18.800833333333333;3
bitcoin/bitcoin;32115;Rust tool to import bip39 mnemonic;"Since we're probably not going to support bip39 mnemonics in the wallet itself, but it's an often requested feature, this PR provides a simple Rust utility to import one.

This puts the utility in `share` so it's included in releases. Alternatively we could make a separate repo akin to HWI. Or per...";;2025-03-21T16:47:00+00:00;2025-03-24T10:22:49+00:00;;closed;False;6;4;382;0;5;6;65.59694444444445;6
fastapi/fastapi;13527;📝 Add External Link: Taiwanese talk on FastAPI with observability ;In this talk, I introduced how to instrument observability in a FastAPI application and demonstrated how to use logs, metrics, and traces to analyze the application using Grafana.;;2025-03-23T05:23:35+00:00;2025-03-24T11:12:43+00:00;2025-03-24T11:12:43+00:00;closed;True;1;1;5;0;2;0;29.81888888888889;3
ChatGPTNextWeb/NextChat;6375;Personal;"#### 💻 变更类型 | Change Type

<!-- For change type, change [ ] to [x]. -->

- [ ] feat    <!-- 引入新功能 | Introduce new features -->
- [ ] fix    <!-- 修复 Bug | Fix a bug -->
- [ ] refactor    <!-- 重构代码（既不修复 Bug 也不添加新功能） | Refactor code that neither fixes a bug nor adds a feature -->
- [ ] perf    <...";;2025-03-16T06:04:18+00:00;2025-03-16T16:30:34+00:00;;closed;False;1;1;2;1;2;1;10.437777777777775;3
sveltejs/svelte;15587;Version Packages;This PR was opened by the [Changesets release](https://github.com/changesets/action) GitHub action. When you're ready to do a release, you can merge this and the packages will be published to npm automatically. If you're not ready to do a release yet, that's fine, whenever you add more changesets to...;;2025-03-22T00:58:55+00:00;2025-03-23T13:59:21+00:00;2025-03-23T13:59:21+00:00;closed;True;1;4;8;7;1;0;37.00722222222223;3
opencv/opencv;27133;minor changes : Replace ndarray.ptp() with np.ptp() for NumPy 2.0 Compatibility;"Fixes : #27131

### Pull Request Readiness Checklist

See details at https://github.com/opencv/opencv/wiki/How_to_contribute#making-a-good-pull-request

- [x] I agree to contribute to the project under Apache 2 License.
- [x] To the best of my knowledge, the proposed patch is not based on a c...";;2025-03-23T18:14:30+00:00;2025-03-24T07:11:44+00:00;2025-03-24T07:11:44+00:00;closed;True;1;2;2;2;0;0;12.953888888888889;2
gin-gonic/gin;4193;fix(binding): prevent duplicate decoding and add validation in decodeToml;"```go
// binding/toml.go:29
func decodeToml(r io.Reader, obj any) error {
	decoder := toml.NewDecoder(r)
	if err := decoder.Decode(obj); err != nil {
		return err
	}
	return decoder.Decode(obj)
}
```
- Removed the redundant second call to `decoder.Decode(obj)` which caused incorrect behavi...";;2025-03-20T09:53:23+00:00;2025-03-20T15:35:49+00:00;2025-03-20T15:35:49+00:00;closed;True;1;1;1;1;1;0;5.707222222222223;3
supabase/supabase;34355;feat: more fixes for UI library;;;2025-03-23T11:31:32+00:00;2025-03-24T13:24:59+00:00;2025-03-24T13:24:59+00:00;closed;True;1;53;1871;459;2;0;25.890833333333333;4
tensorflow/models;13537;Fix typo;Fix typo in comment.;;2025-02-21T17:48:39+00:00;2025-03-10T17:24:09+00:00;2025-03-10T17:24:09+00:00;closed;True;1;1;1;1;0;0;407.5916666666666;2
home-assistant/core;141302;Let device response determine state in Qbus;"<!--
  You are amazing! Thanks for contributing to our project!
  Please, DO NOT DELETE ANY TEXT from this template! (unless instructed).
-->

## Proposed change
<!--
  Describe the big picture of your changes here to communicate to the
  maintainers why we should accept this pull request. I...";;2025-03-24T16:19:31+00:00;2025-03-24T19:26:02+00:00;2025-03-24T19:26:02+00:00;closed;True;1;2;5;20;1;0;3.108611111111111;3
mermaid-js/mermaid;6386;Move requirements containment arrow to edge start;"## :bookmark_tabs: Summary

This moves the containment arrowhead (`⨁`) to the start of the edge. It also slightly tweaks the geometry to avoid clipping.

Resolves #6380

## :straight_ruler: Design Decisions

The [example](https://mermaid.js.org/syntax/requirementDiagram.html#larger-example) ...";;2025-03-17T20:34:31+00:00;2025-03-24T01:13:54+00:00;2025-03-24T01:13:54+00:00;closed;True;1;2;7;6;8;0;148.6563888888889;7
oven-sh/bun;18400;Fix  `BUN-DAR`;"### What does this PR do?

We can't use an unstable sorting algorithm on an array that potentially has duplicate values

### How did you verify your code works?

<!-- **For code changes, please include automated tests**. Feel free to uncomment the line below -->

<!-- I wrote automated tests...";;2025-03-22T10:13:39+00:00;2025-03-22T21:37:19+00:00;2025-03-22T21:37:19+00:00;closed;True;1;1;3;3;1;0;11.394444444444444;3
netdata/netdata;19954;Fix claiming on startup;"##### Summary
- Fix heap-buffer-overflow when processing rooms during claiming on startup
";;2025-03-24T12:41:30+00:00;2025-03-24T17:19:57+00:00;2025-03-24T17:19:57+00:00;closed;True;1;1;7;3;0;0;4.640833333333333;2
nomic-ai/gpt4all;3511;chat: cut v3.10.0 release;"Blocked on:
- ~~#3506~~
- ~~#3512~~
- ~~#3514~~";;2025-02-24T19:35:10+00:00;2025-02-24T22:15:34+00:00;2025-02-24T22:15:34+00:00;closed;True;1;2;5;5;0;0;2.6733333333333333;2
anuraghazra/github-readme-stats;4186;ci(deps): bump actions/setup-node from 4.2.0 to 4.3.0;"Bumps [actions/setup-node](https://github.com/actions/setup-node) from 4.2.0 to 4.3.0.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/actions/setup-node/releases"">actions/setup-node's releases</a>.</em></p>
<blockquote>
<h2>v4.3.0</h2>
<h2>What's Changed</...";;2025-03-17T18:59:03+00:00;2025-03-18T19:04:01+00:00;2025-03-18T19:04:01+00:00;closed;True;1;6;6;6;1;0;24.08277777777778;3
vitejs/vite;19708;refactor(reporter): only call modulesReporter when logLevel is info;"### Description

Only add `transform` / `buildStart` / `buildEnd` hook when needed, so that these functions are not called at all when not needed. 

This makes the build faster when using rolldown-vite with `logLevel: 'warn'` or `logLevel: 'error'` (actually there's a new option in rolldown-vite...";;2025-03-24T10:55:46+00:00;2025-03-24T13:47:14+00:00;2025-03-24T13:47:14+00:00;closed;True;1;1;49;47;0;0;2.8577777777777778;2
microsoft/playwright;35320;test: enable route.continue cookie tests in firefox;"The problem was fixed by https://github.com/microsoft/playwright-browsers/pull/1558

Fixes: https://github.com/microsoft/playwright/issues/35154";;2025-03-21T17:34:03+00:00;2025-03-21T18:35:06+00:00;2025-03-21T18:35:06+00:00;closed;True;2;3;2;3;3;0;1.0175;3
hoppscotch/hoppscotch;4911;fix(common): normalize headers before final relay;"This PR fixes header duplication and non-normalization issues that prevent certain flows including OAuth on stricter servers.

| Before | After |
| ------ | ------|
| ![image](https://github.com/user-attachments/assets/6113f576-b0c2-490d-82e7-f54134907482) | ![image](https://github.com/user-atta...";;2025-03-19T07:51:57+00:00;2025-03-19T10:17:42+00:00;2025-03-19T10:17:42+00:00;closed;True;3;10;113;79;0;0;2.4291666666666667;3
coder/code-server;7263;Update Code to 1.98.2;Ping @code-asher;;2025-03-13T18:47:24+00:00;2025-03-14T18:58:50+00:00;2025-03-14T18:58:50+00:00;closed;True;1;1;1;1;1;0;24.190555555555555;2
n8n-io/n8n;14118;fix(n8n Form Trigger Node): Fix docs link (no-changelog);"Issue number 14085 solved. 
fixes https://github.com/n8n-io/n8n/issues/14085
If someone check this fix, please, give me somebody`s contact, who can answer on my questions. I can`t find this information :(
";;2025-03-23T21:06:03+00:00;2025-03-24T10:29:36+00:00;2025-03-24T10:29:36+00:00;closed;True;1;1;1;1;4;0;13.3925;6
moby/moby;49698;vendor: github.com/moby/buildkit v0.20.2;;;2025-03-24T20:54:15+00:00;2025-03-25T00:30:06+00:00;2025-03-25T00:30:06+00:00;closed;True;1;3;4;4;0;0;3.5975;2
syncthing/syncthing;9980;refactor(api): make shutdown timeout configurable for tests;"This is extracted from [PR #9175][1], which adds some tests that seem to need a longer shutdown timeout when running on GitHub Actions. The problem manifests in errors like this in `TestWebauthnConfigChanges`:

```
2024-05-05T17:00:45.0503602Z     api_test.go:2919: TestWebauthnConfigChanges/Can_e...";;2025-03-02T20:51:31+00:00;2025-03-07T11:50:34+00:00;2025-03-07T11:50:34+00:00;closed;True;1;2;11;1;1;0;110.98416666666668;2
redis/redis;13875;avoid possible use-after-free with module KSN changes;in #13505, we changed the code to use the string value of the key rather than the integer value on the stack, but we have a test in unit/moduleapi/keyspace_events that uses keyspace notification hook to modify the value with RM_StringDMA, which can cause this value to be released before used. the re...;;2025-03-24T07:43:11+00:00;2025-03-24T10:24:52+00:00;2025-03-24T10:24:52+00:00;closed;True;1;2;5;1;1;0;2.694722222222222;2
swiftlang/swift;80238;Fix a compilation error with LLVM 21;"This fixes a `copy constructor must pass its first argument by reference` compilation error when compiled with a recent enough Clang (after https://github.com/llvm/llvm-project/commit/fe0d3e3764961b62f43f1b129f30aaec5f30bc16, targeted for LLVM 21 release).

```
swift/stdlib/public/runtime/Generic...";;2025-03-24T10:48:22+00:00;2025-03-24T18:54:51+00:00;2025-03-24T18:54:51+00:00;closed;True;2;1;1;1;2;0;8.108055555555556;4
d2l-ai/d2l-zh;1258;4.1.1 翻译不顺;原文：“If our labels truly were related to the input data by a simple affine transformation”，  应翻译为 “如果我们的标签确实与经过防射变换后的输入数据相关，”;;2023-03-30T01:39:27+00:00;2023-06-10T08:53:12+00:00;;closed;False;1;2;3;3;1;1;1735.2291666666667;3
grafana/grafana;102728;SQL Expressions: Change metric conversion to full long;"**What is this feature?**

When querying metric data (non-table data) with SQL Expressions, we need to convert the data to table format. This is alternative format which does not have the same issues with sparse data.

There is now a `__metric_name__` column and one `__value__` column. Also a `_...";;2025-03-24T15:44:41+00:00;2025-03-24T20:04:44+00:00;2025-03-24T20:04:44+00:00;closed;True;2;16;1613;372;0;1;4.3341666666666665;2
strapi/strapi;23221;enhancement: add advanced preview license check;"### What does it do?

adds a license check to display the preview side editor only if cms-advanced-preview is true

### How to test it?

Without a license, you shouldn't see the side editor.

With an EE license you should
";;2025-03-24T14:59:38+00:00;2025-03-24T16:04:14+00:00;2025-03-24T16:04:14+00:00;closed;True;2;3;49;40;2;1;1.0766666666666669;4
obsproject/obs-studio;11977;obs-browser: Update version to 2.24.6;"<!--- Please fill out the following template, which will help other contributors review your Pull Request. -->

<!--- Make sure you’ve read the contribution guidelines here: https://github.com/obsproject/obs-studio/blob/master/CONTRIBUTING.rst -->

### Description
<!--- Describe your changes in...";;2025-03-17T18:15:54+00:00;2025-03-17T22:56:47+00:00;2025-03-17T22:56:47+00:00;closed;True;1;1;1;1;0;0;4.681388888888889;2
keras-team/keras;21081;Special handling of Torch DDP in callback;"Keras callbacks do not properly handle Torch DistributedDataParallel models. When using DDP, the keras.Model is wrapped in a DDP instance which is obviously not a keras.Model. The keras.Model must be retrieved from the DDP's `module` property, and the callbacks should execute against that instead.
...";;2025-03-21T16:08:02+00:00;2025-03-22T23:15:10+00:00;2025-03-22T23:15:10+00:00;closed;True;6;1;13;0;2;6;31.11888888888889;4
openai/openai-cookbook;1724;Add Cookbook: Using the OpenAI Agents SDK to Automate Stripe Dispute Responses;"## Summary

This PR introduces a new cookbook demonstrating how to leverage the Agents SDK to automate dispute management workflows using the Stripe API. It provides step-by-step instructions to build agentic applications that can triage, accept, or investigate customer disputes automatically. The...";;2025-03-17T21:50:00+00:00;2025-03-19T19:43:42+00:00;2025-03-19T19:43:42+00:00;closed;True;1;3;506;0;0;7;45.895;2
FuelLabs/sway;7029;try_as_64 updated;"issue #6954
";;2025-03-22T12:11:06+00:00;2025-03-25T06:48:40+00:00;;closed;False;4;2;62;30;0;6;66.62611111111111;2
